native_path	kind	status	ported_candidates	evidence_or_next_action
Controls/ConnectionControl.id-ID.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/ConnectionControl.ja-JP.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/ConnectionControl.ko-KR.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/ConnectionControl.pt.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/ConnectionControl.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/ConnectionControl.ru-KZ.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/ConnectionControl.tr.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/ConnectionControl.uk.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/ConnectionControl.zh-Hans.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/ConnectionOptions.Designer.cs	csharp	replace	Views/ConnectionOptionsWindow.axaml;ViewModels/ConnectionOptionsViewModel.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/ConnectionOptions.ar.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/ConnectionOptions.az-Latn-AZ.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/ConnectionOptions.cs	csharp	replace	Views/ConnectionOptionsWindow.axaml;ViewModels/ConnectionOptionsViewModel.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/ConnectionOptions.id-ID.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/ConnectionOptions.ko-KR.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/ConnectionOptions.pt.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/ConnectionOptions.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/ConnectionOptions.ru-KZ.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/ConnectionOptions.tr.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/ConnectionOptions.uk.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/ConnectionOptions.zh-Hans.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/ConnectionStats.Designer.cs	csharp	replace	Views/LinkStatsWindow.axaml;ViewModels/LinkStatsViewModel.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/ConnectionStats.ar.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/ConnectionStats.az-Latn-AZ.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/ConnectionStats.cs	csharp	replace	Views/LinkStatsWindow.axaml;ViewModels/LinkStatsViewModel.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/ConnectionStats.id-ID.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/ConnectionStats.ja-JP.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/ConnectionStats.ko-KR.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/ConnectionStats.pt.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/ConnectionStats.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/ConnectionStats.ru-KZ.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/ConnectionStats.tr.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/ConnectionStats.uk.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/ConnectionStats.zh-Hans.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/ControlSensorsStatus.Designer.cs	csharp	replace	Controls/HudControl.cs;Views/FlightDataDialogs.cs;ViewModels/FlightDataViewModel.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/ControlSensorsStatus.cs	csharp	replace	Controls/HudControl.cs;Views/FlightDataDialogs.cs;ViewModels/FlightDataViewModel.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/ControlSensorsStatus.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/DefaultSettings.Designer.cs	csharp	replace	GCSViews/ConfigurationView/ConfigDefaultSettingsView.axaml;ViewModels/GCSViews/ConfigurationView/ConfigDefaultSettingsViewModel.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/DefaultSettings.ar.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/DefaultSettings.az-Latn-AZ.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/DefaultSettings.cs	csharp	replace	GCSViews/ConfigurationView/ConfigDefaultSettingsView.axaml;ViewModels/GCSViews/ConfigurationView/ConfigDefaultSettingsViewModel.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/DefaultSettings.id-ID.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/DefaultSettings.ja-JP.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/DefaultSettings.ko-KR.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/DefaultSettings.pt.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/DefaultSettings.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/DefaultSettings.ru-KZ.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/DefaultSettings.tr.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/DefaultSettings.uk.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/DefaultSettings.zh-Hans.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/DevopsUI.Designer.cs	csharp	replace	Views/DeviceOperationsView.axaml;ViewModels/DeviceOperationsViewModel.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/DevopsUI.cs	csharp	replace	Views/DeviceOperationsView.axaml;ViewModels/DeviceOperationsViewModel.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/DevopsUI.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/DigitalSkyUI.Designer.cs	csharp	remove	Porting/Reference/PORT_STATUS.md	DigitalSky is a retired third-party service integration and is intentionally not shipped without a current API/authentication/privacy review.
Controls/DigitalSkyUI.cs	csharp	remove	Porting/Reference/PORT_STATUS.md	DigitalSky is a retired third-party service integration and is intentionally not shipped without a current API/authentication/privacy review.
Controls/DigitalSkyUI.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/DistanceBar.Designer.cs	csharp	replace	GCSViews/FlightDataView.axaml;ViewModels/FlightDataViewModel.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/DistanceBar.cs	csharp	replace	GCSViews/FlightDataView.axaml;ViewModels/FlightDataViewModel.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/DistanceBar.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/DroneCANFileUI.Designer.cs	csharp	remove	Porting/Reference/PORT_STATUS.md	The pinned native DroneCAN file browser is unreachable and half-stubbed; node parameters and firmware upload remain available in the native Avalonia DroneCAN page.
Controls/DroneCANFileUI.cs	csharp	remove	Porting/Reference/PORT_STATUS.md	The pinned native DroneCAN file browser is unreachable and half-stubbed; node parameters and firmware upload remain available in the native Avalonia DroneCAN page.
Controls/DroneCANFileUI.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/DroneCANInspector.cs	csharp	replace	Views/DroneCANInspectorView.axaml;ViewModels/DroneCANInspectorViewModel.cs;Views/DroneCanFieldGraphWindow.cs;Views/DroneCanSubscriberWindow.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/DroneCANInspector.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/DroneCANParams.Designer.cs	csharp	replace	GCSViews/ConfigurationView/ConfigDroneCanView.axaml;ViewModels/GCSViews/ConfigurationView/ConfigDroneCanViewModel.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/DroneCANParams.ar.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/DroneCANParams.az-Latn-AZ.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/DroneCANParams.cs	csharp	replace	GCSViews/ConfigurationView/ConfigDroneCanView.axaml;ViewModels/GCSViews/ConfigurationView/ConfigDroneCanViewModel.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/DroneCANParams.de-DE.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/DroneCANParams.fr.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/DroneCANParams.id-ID.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/DroneCANParams.it-IT.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/DroneCANParams.ja-JP.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/DroneCANParams.ko-KR.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/DroneCANParams.pt.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/DroneCANParams.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/DroneCANParams.ru-KZ.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/DroneCANParams.tr.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/DroneCANParams.uk.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/DroneCANParams.zh-Hans.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/DroneCANParams.zh-Hant.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/DroneCANParams.zh-TW.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/DroneCANSubscriber.cs	csharp	replace	Views/DroneCanSubscriberWindow.cs;ViewModels/DroneCANInspectorViewModel.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/DroneCANSubscriber.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/EKFStatus.Designer.cs	csharp	replace	Views/FlightDataDialogs.cs;Controls/HudControl.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/EKFStatus.cs	csharp	replace	Views/FlightDataDialogs.cs;Controls/HudControl.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/EKFStatus.ko-KR.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/EKFStatus.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/EKFStatus.uk.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/ElevationProfile.Designer.cs	csharp	replace	Views/ElevationGraphWindow.cs;ViewModels/FlightPlannerViewModel.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/ElevationProfile.cs	csharp	replace	Views/ElevationGraphWindow.cs;ViewModels/FlightPlannerViewModel.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/ElevationProfile.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/FollowMe.Designer.cs	csharp	replace	Views/FollowMeView.axaml;ViewModels/FollowMeViewModel.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/FollowMe.ar.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/FollowMe.az-Latn-AZ.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/FollowMe.cs	csharp	replace	Views/FollowMeView.axaml;ViewModels/FollowMeViewModel.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/FollowMe.de-DE.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/FollowMe.es-ES.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/FollowMe.fr.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/FollowMe.id-ID.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/FollowMe.it-IT.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/FollowMe.ko-KR.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/FollowMe.pl.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/FollowMe.pt.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/FollowMe.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/FollowMe.ru-KZ.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/FollowMe.tr.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/FollowMe.uk.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/FollowMe.zh-Hans.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/FollowMe.zh-Hant.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/FollowMe.zh-TW.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/GMAPCache.Designer.cs	csharp	replace	Views/MapCacheView.axaml;ViewModels/MapCacheViewModel.cs;Services/MapCacheManager.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/GMAPCache.cs	csharp	replace	Views/MapCacheView.axaml;ViewModels/MapCacheViewModel.cs;Services/MapCacheManager.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/GMAPCache.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/GimbalControlSettingsForm.Designer.cs	csharp	replace	Controls/GimbalVideoOverlay.cs;Services/GimbalVideoInteraction.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/GimbalControlSettingsForm.cs	csharp	replace	Controls/GimbalVideoOverlay.cs;Services/GimbalVideoInteraction.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/GimbalControlSettingsForm.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/GimbalVideoControl.Designer.cs	csharp	replace	Controls/VideoControl.cs;Controls/GimbalVideoOverlay.cs;Services/GimbalVideoInteraction.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/GimbalVideoControl.cs	csharp	replace	Controls/VideoControl.cs;Controls/GimbalVideoOverlay.cs;Services/GimbalVideoInteraction.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/GimbalVideoControl.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/Icon/File.cs	csharp	replace	Theme/MpTheme.axaml;GCSViews/FlightPlannerView.axaml;Controls/FlightPlannerMap.cs	The GDI icon helpers are replaced by Avalonia vector/font icons and native map drawing.
Controls/Icon/Icon.cs	csharp	replace	Theme/MpTheme.axaml;GCSViews/FlightPlannerView.axaml;Controls/FlightPlannerMap.cs	The GDI icon helpers are replaced by Avalonia vector/font icons and native map drawing.
Controls/Icon/Polygon.cs	csharp	replace	Theme/MpTheme.axaml;GCSViews/FlightPlannerView.axaml;Controls/FlightPlannerMap.cs	The GDI icon helpers are replaced by Avalonia vector/font icons and native map drawing.
Controls/Icon/Zoom.cs	csharp	replace	Theme/MpTheme.axaml;GCSViews/FlightPlannerView.axaml;Controls/FlightPlannerMap.cs	The GDI icon helpers are replaced by Avalonia vector/font icons and native map drawing.
Controls/Loading.Designer.cs	csharp	replace	Services/ProgressDialogs.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/Loading.cs	csharp	replace	Services/ProgressDialogs.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/Loading.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/LogAnalyzer.Designer.cs	csharp	replace	Services/LogAnalyzer.cs;Views/LogMetadataWindow.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/LogAnalyzer.cs	csharp	replace	Services/LogAnalyzer.cs;Views/LogMetadataWindow.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/LogAnalyzer.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/MAVLinkInspector.cs	csharp	replace	Views/MAVLinkInspectorView.axaml;ViewModels/MAVLinkInspectorViewModel.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/MAVLinkInspector.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/MAVLinkParamChanged.cs	csharp	replace	ViewModels/GCSViews/ConfigurationView/ParamField.cs;ViewModels/GCSViews/ConfigurationView/ParamPageBase.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/MavCommandSelection.Designer.cs	csharp	replace	GCSViews/ConfigurationView/ConfigMavCommandView.axaml;ViewModels/GCSViews/ConfigurationView/ConfigMavCommandViewModel.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/MavCommandSelection.cs	csharp	replace	GCSViews/ConfigurationView/ConfigMavCommandView.axaml;ViewModels/GCSViews/ConfigurationView/ConfigMavCommandViewModel.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/MavCommandSelection.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/MavCommandSelection.uk.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/MavFTPUI.Designer.cs	csharp	replace	GCSViews/ConfigurationView/MavFTPUIView.axaml;ViewModels/GCSViews/ConfigurationView/MavFTPUIViewModel.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/MavFTPUI.cs	csharp	replace	GCSViews/ConfigurationView/MavFTPUIView.axaml;ViewModels/GCSViews/ConfigurationView/MavFTPUIViewModel.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/MavFTPUI.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/MavlinkCheckBox.cs	csharp	replace	Controls/FormField.cs;ViewModels/GCSViews/ConfigurationView/ParamField.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/MavlinkCheckBoxBitMask.cs	csharp	replace	Controls/FormField.cs;ViewModels/GCSViews/ConfigurationView/ParamField.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/MavlinkCheckBoxBitMask.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/MavlinkComboBox.cs	csharp	replace	Controls/FormField.cs;ViewModels/GCSViews/ConfigurationView/ParamField.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/MavlinkNumericUpDown.cs	csharp	replace	Controls/FormField.cs;ViewModels/GCSViews/ConfigurationView/ParamField.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/ModifyandSet.Designer.cs	csharp	replace	Views/ParamCompareWindow.cs;ViewModels/RawParamsViewModel.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/ModifyandSet.ar.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/ModifyandSet.az-Latn-AZ.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/ModifyandSet.cs	csharp	replace	Views/ParamCompareWindow.cs;ViewModels/RawParamsViewModel.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/ModifyandSet.id-ID.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/ModifyandSet.ja-JP.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/ModifyandSet.ko-KR.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
