path	decision	evidence	note
ExtLibs/md5sum	remove	build/linux/package.sh	Obsolete net472 helper; packaging uses the host md5sum utility directly.
ExtLibs/solo	remove	Porting/FEATURE_AUDIT.md	Obsolete unauthenticated Solo Wi-Fi/SSH installer deliberately retired by the feature audit.
ExtLibs/tlogThumbnailHandler	remove	Services/LogIndexService.cs	Windows shell extension replaced by the cross-platform in-app log route thumbnail workflow.
ExtLibs/zlib.net	remove	MissionPlanner.slnx	Unreferenced legacy zlib snapshot; active compression paths use current framework/SharpZipLib implementations.
LogAnalyzer	remove	Services/LogAnalyzer.cs	Python 2/py2exe analyzer replaced by the in-process cross-platform implementation of all 17 enabled checks and regression tests.
ExtLibs/px4uploader/android.bat	remove	ExtLibs/px4uploader/px4uploader.csproj	Obsolete netcoreapp3.1 Android publish command; the retained uploader is a net10 desktop library in the active graph.
ExtLibs/MetaDataExtractorCSharp240d	remove	MissionPlanner.csproj	Unreferenced 2004-era EXIF project; active GeoRef and Survey workflows use the maintained MetadataExtractor package.
ExtLibs/MetaDataExtractorCSharp240d/AssemblyInfo.cs	remove	MissionPlanner.csproj	Empty source file from the retired legacy EXIF project.
MissionPlanner.GCSViews.ConfigurationView.ConfigGPSOrder+GPSCAN.datasource	remove	GCSViews/ConfigurationView/ConfigGPSOrderView.axaml	Generated WinForms object-data-source metadata; the current GPS-order editor is native Avalonia.
MissionPlanner.GCSViews.ConfigurationView.ConfigHWCompass2+CompassDeviceInfo.datasource	remove	GCSViews/ConfigurationView/ConfigCompassView.axaml	Generated WinForms object-data-source metadata; the current compass editor is native Avalonia.
MissionPlanner.GCSViews.ConfigurationView.DeviceInfo.datasource	remove	GCSViews/ConfigurationView/ConfigDroneCanView.axaml	Generated WinForms object-data-source metadata; current device information is rendered by native views.
Properties/DataSources	remove	MissionPlanner.csproj	Generated WinForms designer binding metadata with no compile, resource or runtime consumer.
Properties/app.manifest	remove	app.manifest	Unused legacy manifest superseded by the active cross-platform application manifest.
vs2019.vsconfig	remove	global.json	Obsolete IDE workload snapshot for the retired net472/Xamarin/UWP graph.
vs2022.vsconfig	remove	global.json	Obsolete IDE workload snapshot for the retired net472/Xamarin/UWP graph.
MissionPlannerTests/Avalonia/MissionPlanner.SitlTests/MissionPlanner.SitlTests.csproj	retain	MissionPlannerTests/Avalonia/MissionPlanner.SitlTests/README.md	Manual SITL end-to-end harness for the MAVLink log download protocol; operational test tooling rather than an alternate application.
